,Tweets,id,keyword,location,text,target
13,RT @TeamRubicon: Team Rubicon is continuing to monitor the impacts of the earthquakes in Puerto Rico. We stand ready to respond if needed.…,1214558531715817472,1214558531715817472,1214558531715817472,1214558531715817472,1214558531715817472
14,"RT @ITDRC: Our volunteers come from many different walks of life, no matter what your skill, there is a place for you to help at ITDRC

Her…",1214261436404379652,1214261436404379652,1214261436404379652,1214261436404379652,1214261436404379652
15,"RT @Habitat_org: ""Each time my car pulls up to the build site, I am filled with joy at the prospect of being able to make a difference — to…",1214261052860502022,1214261052860502022,1214261052860502022,1214261052860502022,1214261052860502022
16,"RT @AllHandsHearts: We're #Hiring! We've multiple positions open, both #domestically &amp; #abroad, &amp; we're looking for #committed ppl to join…",1214260547291619328,1214260547291619328,1214260547291619328,1214260547291619328,1214260547291619328
17,The UPS Foundation is a crucial partner of National VOAD and a supporter of our member’s work across the country.… https://t.co/DuK09rx0ma,1213226838769754112,1213226838769754112,1213226838769754112,1213226838769754112,1213226838769754112
18,RT @distressline: The nat’l @distressline is staffed by trained counselors from a network of crisis call centers located across the U.S. If…,1213225420952354816,1213225420952354816,1213225420952354816,1213225420952354816,1213225420952354816
19,"RT @AirlinkFlight: With responses ongoing, we’re still tallying our impact from this year. Here's a sneak peek at preliminary figures. THAN…",1212901115861360642,1212901115861360642,1212901115861360642,1212901115861360642,1212901115861360642
20,"RT @OpBBQRelief: Does your New Year's resolution include volunteering with a nonprofit organization?
Sign up today to be an Operation BBQ R…",1212901091295322113,1212901091295322113,1212901091295322113,1212901091295322113,1212901091295322113
21,"RT @Heart_to_Heart: From #HurricaneDorian to #tornadoes in the Midwest to working in #PuertoRico to helping #refugees, we have been around…",1212900939516039169,1212900939516039169,1212900939516039169,1212900939516039169,1212900939516039169
22,"RT @jfederations: Chanukah is here -- the Festival of Lights! See how the Shalva Band, with support from #JFeds, is bringing light &amp; music…",1208812883922083840,1208812883922083840,1208812883922083840,1208812883922083840,1208812883922083840
23,RT @Habitat_org: “Home for the holidays” has special significance for 22 families who have built their homes as part of @HabitatBHAM’s annu…,1208087531599863808,1208087531599863808,1208087531599863808,1208087531599863808,1208087531599863808
24,"RT @TeamRubicon: 2020 is inbound quickly, and we’re working to roll out new capabilities for survivors and more training opportunities for…",1208087386313412608,1208087386313412608,1208087386313412608,1208087386313412608,1208087386313412608
25,RT @DirectRelief: How one health center is revamping elder care through a comprehensive program of specialized services. #health @Urbanheal…,1208087340230594560,1208087340230594560,1208087340230594560,1208087340230594560,1208087340230594560
26,"RT @RedCross: When lives are turned upside down by a disaster, things as small as a toothbrush and toothpaste can make a huge difference. h…",1207031712384991232,1207031712384991232,1207031712384991232,1207031712384991232,1207031712384991232
27,RT @WTInsurance1870: Please watch to support @NationalVOAD! https://t.co/LXf3jAcrND,1207031646119182336,1207031646119182336,1207031646119182336,1207031646119182336,1207031646119182336
28,RT @Westfield1848: Your view of our Holiday Video increases our donation to @NationalVOAD. This year's video shares the diverse ways our ow…,1206690971079127046,1206690971079127046,1206690971079127046,1206690971079127046,1206690971079127046
29,"RT @TeamRubicon: Team Rubicon was hard at work clearing trees and brush on Cat Cave Preserve in Williamson County, TX as part of a mitigati…",1206664110060064770,1206664110060064770,1206664110060064770,1206664110060064770,1206664110060064770
30,"RT @RebldgTogthr: Everyone deserves a reliable roof over their head, and everyone deserves to safely celebrate holiday traditions. Rebuildi…",1206663275766779905,1206663275766779905,1206663275766779905,1206663275766779905,1206663275766779905
31,"RT @UMC_UMCOR: Twenty-one new homes, each complete with an UMCOR-funded sanitation unit, welcome Newtok residents to their new homes in Mer…",1205599282604249094,1205599282604249094,1205599282604249094,1205599282604249094,1205599282604249094
32,"RT @SBPUSA: Did you know that 70% of charitable dollars are raised within the first few weeks of a #disaster? It sounds amazing, but most o…",1204824592348581888,1204824592348581888,1204824592348581888,1204824592348581888,1204824592348581888
33,RT @MTColemanJr: Ended Tuesday on great note with an  opportunity to share a meal with @KevinsRule1 and other friends from the @NationalVOA…,1204824416091291648,1204824416091291648,1204824416091291648,1204824416091291648,1204824416091291648
34,"RT @fema: Last week, @FEMA_Pete visited #PuertoRico and the #USVI to meet with local officials and see hurricane recovery efforts firsthand…",1204448001055494144,1204448001055494144,1204448001055494144,1204448001055494144,1204448001055494144
35,"There aren’t many disasters making national news right now, but National VOAD members are out in the field respondi… https://t.co/foAa64B13d",1204447919715291136,1204447919715291136,1204447919715291136,1204447919715291136,1204447919715291136
36,"Today is the last day to submit workshop proposals for #NVC2020 in Phoenix, Arizona! Contact the National VOAD offi… https://t.co/m9ygT0Qs14",1204143650818658304,1204143650818658304,1204143650818658304,1204143650818658304,1204143650818658304
37,RT @Habitat_org: Join us this #InternationalVolunteerDay as we thank our volunteers — as we thank you — for all you do in support of #Habit…,1202618457625440257,1202618457625440257,1202618457625440257,1202618457625440257,1202618457625440257
38,"RT @Heart_to_Heart: From sorting items in our warehouse, deploying on disasters, assembling hygiene kits, installing lab equip in U.S. safe…",1202618397122596864,1202618397122596864,1202618397122596864,1202618397122596864,1202618397122596864
39,RT @AirlinkFlight: We proudly facilitate travel for medical personnel from our nonprofit partner @Heart_to_Heart. They deliver medical care…,1202348140898275328,1202348140898275328,1202348140898275328,1202348140898275328,1202348140898275328
40,"RT @Readygov: On this #GivingTuesday, we would like to highlight our partner volunteer organizations that work tirelessly to support disast…",1201946201777725441,1201946201777725441,1201946201777725441,1201946201777725441,1201946201777725441
41,"On #CyberMonday or tomorrow on #GivingTuesday, you can give directly to National VOAD or any of our member agencies… https://t.co/I4nzY5SHR6",1201524454930755585,1201524454930755585,1201524454930755585,1201524454930755585,1201524454930755585
42,https://t.co/xbtaCgsaNA,1200067767233384448,1200067767233384448,1200067767233384448,1200067767233384448,1200067767233384448
43,"RT @PDACares: PDA has reached out to the Presbytery of Santa Barbara as the Cave Fire is fast approaching residential areas. 
To support ou…",1199410680115453953,1199410680115453953,1199410680115453953,1199410680115453953,1199410680115453953
44,RT @KEYTNC3Senerey: @DirectRelief is giving out free mask all day long! Come by and get one. 6100 Wallace Becknell Road Santa Barbara. #Cav…,1199410641620127749,1199410641620127749,1199410641620127749,1199410641620127749,1199410641620127749
45,"RT @txglo: The Engaging Public-Private Partnerships in Housing Recovery panel featured @onestarfdn, @NationalVOAD and more speaking about e…",1199022259899420672,1199022259899420672,1199022259899420672,1199022259899420672,1199022259899420672
46,"RT @Habitat_org: Together with homeowners and volunteers across the world, Habitat for Humanity works to build, advocate and empower. 🏠❤️ h…",1199022237078171648,1199022237078171648,1199022237078171648,1199022237078171648,1199022237078171648
47,"RT @AllHandsHearts: In TX, we've hit a milestone of helping over 2k beneficiaries who were affected by #HurricaneHarvey. There's still more…",1197961621936771072,1197961621936771072,1197961621936771072,1197961621936771072,1197961621936771072
48,"RT @HumanityRoad: #TX Homeowners, Renters, Businesses, and Private Nonprofits impacted by the #DallasTornadoes, in Dallas and contiguous co…",1197961590718550016,1197961590718550016,1197961590718550016,1197961590718550016,1197961590718550016
49,RT @DirectRelief: How health centers in rural California struggled to keep the lights on—and the water running—this #wildfire season. @sher…,1197961524830232577,1197961524830232577,1197961524830232577,1197961524830232577,1197961524830232577
50,"RT @IslamicRelief: IRUSA's Disaster Response team rebuilding hopmes with @UMCOR - United Methodist Committee On Relief on Ocracoke Island,…",1197604682916651008,1197604682916651008,1197604682916651008,1197604682916651008,1197604682916651008
51,"RT @fema: On #WorldHelloDay, our team says hello! Learn more about our work by checking out Pub 1, the document that describes our mission…",1197604628290048005,1197604628290048005,1197604628290048005,1197604628290048005,1197604628290048005
52,RT @ITDRC: Donate your time and skills to help those affected by disasters. Join the team today: https://t.co/miCqDZRipY https://t.co/W4OeM…,1196853607389433858,1196853607389433858,1196853607389433858,1196853607389433858,1196853607389433858
53,RT @TeamRubicon: Team Rubicon is honored to be recognized as the USA Volunteer Organization of the Year from the International Association…,1196853468193054720,1196853468193054720,1196853468193054720,1196853468193054720,1196853468193054720
54,"RT @TzuChiUSA: After the #SaddleridgeFire upended lives in #LA this past month, many displaced survivors faced homelessness due to at-capac…",1196516393816068097,1196516393816068097,1196516393816068097,1196516393816068097,1196516393816068097
55,RT @MTColemanJr: Agreed! There are some great organizations here alongside @fema working to create those pathways including representatives…,1196516158284980226,1196516158284980226,1196516158284980226,1196516158284980226,1196516158284980226
56,"RT @distressline: Reports of shootings can lead to strong feelings of distress, esp. among those who have exp. similar incidents in the pas…",1195078490078556170,1195078490078556170,1195078490078556170,1195078490078556170,1195078490078556170
57,"RT @santaclarita: UPDATE: In coordination with @HartDistrict, we will have The Centre (20880 Centre Pointe Parkway) open tonight from 5-7 p…",1195078477998960649,1195078477998960649,1195078477998960649,1195078477998960649,1195078477998960649
58,"RT @NYVOAD: On behalf of the Board &amp; Staff of NYVOAD, THANK YOU, to all the local responders, NYVOAD members &amp; @NationalVOAD partners who h…",1194630856372973571,1194630856372973571,1194630856372973571,1194630856372973571,1194630856372973571
59,National VOAD was honored to participate in @LSCtweets Disaster Task Force Report Release Expo today in NYC.… https://t.co/LHZyd8s0HI,1194343856113946624,1194343856113946624,1194343856113946624,1194343856113946624,1194343856113946624
60,RT @RedCross: Bundle up! The coldest surge of arctic air so far this season is heading to much of the east coast. Stay safe with these tips…,1194325520009383942,1194325520009383942,1194325520009383942,1194325520009383942,1194325520009383942
61,"RT @TeamRubicon: “I was in medicine all my life, and I loved helping people. I didn’t want to stop doing that when I retired, and I definit…",1194325430876221440,1194325430876221440,1194325430876221440,1194325430876221440,1194325430876221440
62,RT @distressline: We're here 24/7. #TalkWithUs at 1-800-985-5990. #Wildfires #CampFire #KincadeFire #GettyFire #TickFire #MariaFire #EasyFi…,1192867647144300546,1192867647144300546,1192867647144300546,1192867647144300546,1192867647144300546
63,"RT @SBPUSA: When disaster strikes, these are the key assistance sources that are available to you. Learn more about disaster preparedness b…",1192867635614142464,1192867635614142464,1192867635614142464,1192867635614142464,1192867635614142464
64,RT @Heart_to_Heart: THANK YOU to @AirlinkFlight! Sunday marked the 50th round-trip flight provided by @AirlinkFlight to the #Bahamas for ou…,1192699354852864000,1192699354852864000,1192699354852864000,1192699354852864000,1192699354852864000
65,"RT @AllHandsHearts: Yesterday our team was joined by race participants, supporters &amp; #volunteers from the @IMF_Foundation. Together, along…",1192498322793271298,1192498322793271298,1192498322793271298,1192498322793271298,1192498322793271298
66,RT @TeamRubicon: Team Rubicon is actively monitoring the #Getty and #Kincade fires in California. We have deployed a RECON team to Sonoma C…,1192498063421652998,1192498063421652998,1192498063421652998,1192498063421652998,1192498063421652998
67,"RT @Americares: Americares, what you need to know today, Wednesday, November 6th:
✅ Latest: We’ve launched a new text messaging program to…",1192163215397941248,1192163215397941248,1192163215397941248,1192163215397941248,1192163215397941248
68,"RT @SenDanSullivan: Honored to present Ashley Perry, of Anchorage, with the prestigious #DailyPointofLight Award in recognition of her Bles…",1192163154647830530,1192163154647830530,1192163154647830530,1192163154647830530,1192163154647830530
69,"RT @SBPUSA: When #HurricaneHarvey hit, the Beltran family sheltered at home, but soon a nearby bayou overflowed and they had to evacuate. S…",1192162885654458371,1192162885654458371,1192162885654458371,1192162885654458371,1192162885654458371
70,"RT @NWS: It's World Tsunami Awareness Day!  Could a tsunami strike where you live, work, or play?  Find out:
https://t.co/KUZ7oVFJoY 

#Tsu…",1191766837769490440,1191766837769490440,1191766837769490440,1191766837769490440,1191766837769490440
71,RT @Habitat_org: Are you interested in joining Habitat AmeriCorps for a year of service? Service members provide a unique human resource –…,1191766692382347265,1191766692382347265,1191766692382347265,1191766692382347265,1191766692382347265
72,"RT @Nazarene: In the aftermath of Hurricane Dorian, the Church of the Nazarene has continued to provide relief aid and minister to the comm…",1191766573578620929,1191766573578620929,1191766573578620929,1191766573578620929,1191766573578620929
73,RT @SBPUSA: SBP knows how scary it can be to feel unprepared when a natural disaster is headed your way. We’re here to help. With our cours…,1190352583443075072,1190352583443075072,1190352583443075072,1190352583443075072,1190352583443075072
74,RT @AirbnbHelp: Airbnb hosts are opening up their homes to those impacted by the wildfires in the Los Angeles area. Find temporary accommod…,1190299860928520192,1190299860928520192,1190299860928520192,1190299860928520192,1190299860928520192
75,"RT @RedCrossLA: As evacuation orders have been lifted, we have closed our 2 #RedCross shelters at #Westwood Rec Center &amp; #Palisades Rec Cen…",1190299722088669184,1190299722088669184,1190299722088669184,1190299722088669184,1190299722088669184
76,"RT @Readygov: It’s #ChecklistDay! The perfect time to ensure you have all the emergency supplies you need to be prepared for a disaster.

R…",1190299231959093248,1190299231959093248,1190299231959093248,1190299231959093248,1190299231959093248
77,"RT @ShelterBox: As #November brings shorter days and darker nights, solar lights help families to re-establish their normal routines. This…",1190299096223010817,1190299096223010817,1190299096223010817,1190299096223010817,1190299096223010817
78,"RT @TeamRubicon: Team Rubicon is continuing our monitoring of the California fires including the #HillsideFire, #GettyFires and #Kincade fi…",1189953225027444737,1189953225027444737,1189953225027444737,1189953225027444737,1189953225027444737
79,"RT @IOCCRelief: We can't do what we do without our volunteers! IOCC volunteers plan events, rebuild homes, provide spiritual care, and so m…",1189939315490594818,1189939315490594818,1189939315490594818,1189939315490594818,1189939315490594818
80,RT @EpiscopalRelief: Episcopal Relief &amp; Development is supporting @norcalepiscopal and coordinating with the Diocese of California as they…,1189633089716314112,1189633089716314112,1189633089716314112,1189633089716314112,1189633089716314112
81,RT @conservators: Our thoughts are with cultural heritage sites &amp; institutions impacted by wildfires in California. If you need information…,1189548185036959750,1189548185036959750,1189548185036959750,1189548185036959750,1189548185036959750
82,"RT @femaregion2: #OTD in 2012, Hurricane #Sandy made landfall on the East Coast. Rebuilding is more than repairing damage – it is laying th…",1189547938634260482,1189547938634260482,1189547938634260482,1189547938634260482,1189547938634260482
83,"National VOAD members are standing by, and are ready to respond to the needs of communities affected by the fires i… https://t.co/yGzBoRRbjT",1189253430109462528,1189253430109462528,1189253430109462528,1189253430109462528,1189253430109462528
84,"RT @RedCross: More than 2,800 people stayed in 20 Red Cross and community shelters in California Monday night as 16 fires burn across the s…",1189253219450576897,1189253219450576897,1189253219450576897,1189253219450576897,1189253219450576897
85,"RT @DirectRelief: N95 masks, family hygiene kits &amp; respiratory medications, as well as backup power units, arrive at the Petaluma Fairgroun…",1189253210269257728,1189253210269257728,1189253210269257728,1189253210269257728,1189253210269257728
86,RT @SavetheChildren: Wildfires continue to ravage California. Here are some tips for parents and communities to help keep kids safe: https:…,1188884997970780160,1188884997970780160,1188884997970780160,1188884997970780160,1188884997970780160
87,"RT @TzuChiUSA: With evacuation orders for nearly 200,000 residents- including some of our very own #TzuChiVolunteers, the #KincadeFire has…",1188884862683570176,1188884862683570176,1188884862683570176,1188884862683570176,1188884862683570176
88,"RT @ictgorg: When extending care to evacuees, important to *listen to what actually grieves them. It may not only be #fire or suddenly leav…",1188884614552719360,1188884614552719360,1188884614552719360,1188884614552719360,1188884614552719360
89,RT @DirectRelief: Santa Clarita Valley brush #fire burns multiple structures and threatens neighborhoods #TickFire https://t.co/vht3SfOKgs,1187756139607404547,1187756139607404547,1187756139607404547,1187756139607404547,1187756139607404547
90,"RT @RedCrossLA: We’re in #SantaClarita at the #RedCross shelter at College of the @Canyons, providing comfort &amp; care to people needing a sa…",1187755978407776257,1187755978407776257,1187755978407776257,1187755978407776257,1187755978407776257
91,RT @RebldgTogthr: We're thinking of our neighbors in Southern California affected by the #wildfires. Please stay safe! https://t.co/gVS7nvN…,1187755725113778177,1187755725113778177,1187755725113778177,1187755725113778177,1187755725113778177
92,RT @CCharitiesUSA: Tornadoes in Dallas last night left many lives shattered &amp; homes destroyed. @CCofDallas stands ready to provide immediat…,1186676845451890693,1186676845451890693,1186676845451890693,1186676845451890693,1186676845451890693
93,RT @Americares: #GetReadyNow🚨 for the next hurricane or emergency! We’re still in the Atlantic Hurricane season through November 30th. http…,1186676650974633988,1186676650974633988,1186676650974633988,1186676650974633988,1186676650974633988
94,"The last panel of #FMM19 is “A Spotlight on Border Response”, a discussion of the work being done by National VOAD… https://t.co/v4EUHuKd3E",1184555782454554624,1184555782454554624,1184555782454554624,1184555782454554624,1184555782454554624
95,Day 2 of National VOAD’s Fall Members Meeting is underway! Thank you to all of today’s panelists for sharing their… https://t.co/1WM8jZiJbM,1184492688667627521,1184492688667627521,1184492688667627521,1184492688667627521,1184492688667627521
96,"Here’s one very, very good member from @HopeAACR https://t.co/4GcFM6jSN7",1184162452453449728,1184162452453449728,1184162452453449728,1184162452453449728,1184162452453449728
97,National VOAD’s Fall Members Meeting is underway! Over 100 member representatives are here in wild and wonderful We… https://t.co/MqbvQIy4lp,1184155337911353344,1184155337911353344,1184155337911353344,1184155337911353344,1184155337911353344
98,"RT @CAL_FIRE: #SaddleRidgeFire off Saddle Ridge Rd, Sylmar in Los Angeles County is 8,391 acres and 44% contained. Unified Command: @LAFD,…",1184134091265970177,1184134091265970177,1184134091265970177,1184134091265970177,1184134091265970177
99,"RT @umrelief: ATTENTION ALL FUNDRAISERS 🗣🗣🗣

There are still spots open for our Developing Annual Sustainability classes on October 19th an…",1181697301804453893,1181697301804453893,1181697301804453893,1181697301804453893,1181697301804453893
100,"RT @TeamRubicon: Since Team Rubicon landed in #TheBahamas on September 2, Greyshirts have contributed 15,636 volunteer hours, which is wort…",1181665665725403136,1181665665725403136,1181665665725403136,1181665665725403136,1181665665725403136
101,"RT @FEMARegion6: If you live in #Texas and were affected by Tropical Storm #Imelda, you may be eligible for assistance. Apply online or by…",1181665640844840960,1181665640844840960,1181665640844840960,1181665640844840960,1181665640844840960
102,RT @OpBBQRelief: October is Fire Prevention Month. Keep yourself and your family safe by developing a fire escape plan with everyone in you…,1181665597282803712,1181665597282803712,1181665597282803712,1181665597282803712,1181665597282803712
103,RT @Heart_to_Heart: Update from the team on ground in the #Bahamas https://t.co/P0lCDJEeJa,1181266369607868416,1181266369607868416,1181266369607868416,1181266369607868416,1181266369607868416
104,RT @TeamRubicon: If you did not catch us over the weekend here is an great clip on how TR is making a difference on the ground in Marsh Har…,1181266300242403331,1181266300242403331,1181266300242403331,1181266300242403331,1181266300242403331
105,RT @IslamicRelief: Beth and Albert watched the news with fear as the 2016 California sand fire grew out of control. “IRUSA helped us with t…,1180143709834358784,1180143709834358784,1180143709834358784,1180143709834358784,1180143709834358784
106,"RT @ITDRC: It’s hard to believe we’re in week 6 of our #HurricaneDorian response, and our 4th week in The Bahamas...

https://t.co/xofTxUIV…",1180143505852776450,1180143505852776450,1180143505852776450,1180143505852776450,1180143505852776450
107,RT @TeamRubicon: From Houston Rebuild—our teams have rebuilt 66 homes. They’re pushing through Tropical Storm Imelda to hit the 2020 goal o…,1180143029451198465,1180143029451198465,1180143029451198465,1180143029451198465,1180143029451198465
108,"RT @Heart_to_Heart: When winds from #HurricaneDorian ripped the roof off their house, they ran to the only place they could - a school bus.…",1179773803242627073,1179773803242627073,1179773803242627073,1179773803242627073,1179773803242627073
109,"RT @RedCross: Partners like @AnheuserBusch help us make a difference in communities devastated by major disasters every year, and we want t…",1179406085544960000,1179406085544960000,1179406085544960000,1179406085544960000,1179406085544960000
110,"RT @NYDISnet: NYDIS' 6th Annual National Preparedness Month Resilience Resources Issue is published:

Information, resources &amp; training lin…",1178751342158008322,1178751342158008322,1178751342158008322,1178751342158008322,1178751342158008322
111,RT @AllHandsHearts: Immigrant #communities are often forgotten in the wake of a #disaster. Recently @funds4disaster joined w/@gcirtweets &amp;…,1178751317390610434,1178751317390610434,1178751317390610434,1178751317390610434,1178751317390610434
112,RT @HumanityRoad: Would you like to volunteer from home? Come join our virtual volunteer team! Attend Humanity Road New Volunteer Orientati…,1178750945070465024,1178750945070465024,1178750945070465024,1178750945070465024,1178750945070465024
113,RT @TzuChiUSA: 90% of the population in #Paradise hasn't been able to return home following the #CA #CampFire. Many were left w/ overwhelmi…,1178750746516430848,1178750746516430848,1178750746516430848,1178750746516430848,1178750746516430848
114,"RT @OpBBQRelief: 15 days
88,515 meals
1 more deployment in the books
OBR bids farewell to Ft. Lauderdale and Freeport, Grand Bahama https:/…",1178512251759796225,1178512251759796225,1178512251759796225,1178512251759796225,1178512251759796225
115,"RT @ac_disaster: Trained volunteers play an essential role in disaster response &amp; recovery. 
Get involved by registering with a member of…",1177605941505777666,1177605941505777666,1177605941505777666,1177605941505777666,1177605941505777666
116,RT @conservators: Check out this thread from Professional Associate Becca Kennedy about a salvage training with the @smithsonian PRICE team…,1177605879023243267,1177605879023243267,1177605879023243267,1177605879023243267,1177605879023243267
117,RT @operationbless: Becky's home was badly damaged by Hurricane Harvey two years ago. Now she's facing the same nightmare after Tropical St…,1177605748433608707,1177605748433608707,1177605748433608707,1177605748433608707,1177605748433608707
118,RT @AllHandsHearts: FACEBOOK LIVE TODAY AT 11:30 AM CST: Our Director of U.S. Disaster Response Phuong Le will be giving a live update from…,1177226973774589953,1177226973774589953,1177226973774589953,1177226973774589953,1177226973774589953
119,RT @breakingweather: The Atlantic is teeming with tropical activity as Karen and Lorenzo meander across the open waters of the Atlantic Oce…,1177224475613519874,1177224475613519874,1177224475613519874,1177224475613519874,1177224475613519874
120,RT @theOFDA: Did you miss last week's @funds4disaster webinar on next steps for #HurricaneDorian recovery? Our own Doug Stopes joined exper…,1177220759435059200,1177220759435059200,1177220759435059200,1177220759435059200,1177220759435059200
121,RT @AllHandsHearts: Our U.S. Disaster Assessment Response Team (DART) is meeting with local partners &amp; officials while conducting damage as…,1176904244424826883,1176904244424826883,1176904244424826883,1176904244424826883,1176904244424826883
122,"RT @Americares: #TropicalStormImelda dropped 40 inches+ of rain in Texas, reports @WeatherChannel. Americares is sending a $1.4 shipment of…",1176903977063071744,1176903977063071744,1176903977063071744,1176903977063071744,1176903977063071744
123,"RT @Heart_to_Heart: Working w/ @BDandCo &amp; @NAFClinics, @Heart_to_Heart   installed a point of care laboratory in Free Clinic of Meridian.…",1176903922230943746,1176903922230943746,1176903922230943746,1176903922230943746,1176903922230943746
124,"RT @funds4disaster: The flooding and damage #Imelda wrought brought back memories of #HurricaneHarvey: flooded homes, overwhelmed flood inf…",1176532492901371907,1176532492901371907,1176532492901371907,1176532492901371907,1176532492901371907
125,"RT @TeamRubicon: Team Rubicon will assist residents affected by recent flooding in Jefferson and Orange counties, TX. Greyshirts will be co…",1176532448848560129,1176532448848560129,1176532448848560129,1176532448848560129,1176532448848560129
126,National VOAD members are monitoring #TropicalStormKaren and are ready to respond. Puerto Rico VOAD is holding coor… https://t.co/gEWtrBqycU,1176531965408923648,1176531965408923648,1176531965408923648,1176531965408923648,1176531965408923648
127,RT @TeamRubicon: Team Rubicon is monitoring a 6.0M earthquake that struck off the coast of Puerto Rico. #BuiltToServe,1176516910877483008,1176516910877483008,1176516910877483008,1176516910877483008,1176516910877483008
128,RT @Americares: #HurricaneDorian: Our medical team is helping evacuees in Nassau including care #4MentalHealth trauma 💚 https://t.co/X8kvxo…,1176516216686612482,1176516216686612482,1176516216686612482,1176516216686612482,1176516216686612482
129,"RT @operationbless: Because of you, relief continues to flow to the #Bahamas. Watch the latest: https://t.co/RUULrNqNsO",1176515583229214720,1176515583229214720,1176515583229214720,1176515583229214720,1176515583229214720
130,RT @ELCALDR: Every community has voluntary organizations that work during disasters. Visit https://t.co/4Q15a3c7fT to see what organization…,1176515501423497219,1176515501423497219,1176515501423497219,1176515501423497219,1176515501423497219
131,"RT @cburgessDDH: #Floods, like all disasters, can trigger strong feelings of distress or other mental health concerns among those impacted.…",1176164733629739009,1176164733629739009,1176164733629739009,1176164733629739009,1176164733629739009
132,"RT @FEMARegion6: #ICYMI if you live in Harris County, TX. https://t.co/TVLXbqSh27",1176147335354753025,1176147335354753025,1176147335354753025,1176147335354753025,1176147335354753025
133,RT @capitalweather: Huge wild card w/ Tropical Storm Karen is what happens AFTER it moves north of Puerto Rico IF it survives. Model simula…,1176147297043959809,1176147297043959809,1176147297043959809,1176147297043959809,1176147297043959809
134,"RT @RedCross: It’s been two years since #HurricaneMaria made landfall. Since then, we've installed solar panels on more than 100 schools in…",1175061001751994370,1175061001751994370,1175061001751994370,1175061001751994370,1175061001751994370
135,RT @mercycorps: One of the ways we're helping communities in Puerto Rico recover from #HurricaneMaria is by increasing emergency preparedne…,1175060956512169991,1175060956512169991,1175060956512169991,1175060956512169991,1175060956512169991
136,"RT @Americares: Americares, what you need to know today, Sept 20, 2019
✅2 years since #HurricaneMaria &amp; we’re still there
✅#HurricaneJerry…",1175060941320392705,1175060941320392705,1175060941320392705,1175060941320392705,1175060941320392705
137,RT @SalArmyEDS: #SalvationArmy Units in Southeast Texas Prepared to Respond to Flooding From Tropical Storm #Imelda.  Story at https://t.co…,1174757163069321219,1174757163069321219,1174757163069321219,1174757163069321219,1174757163069321219
138,"RT @AllHandsHearts: Following the devastation of #HurricaneDorian, we know this is going to be a very long #recovery. Our Director of Inter…",1174739298450628608,1174739298450628608,1174739298450628608,1174739298450628608,1174739298450628608
139,RT @AirlinkFlight: And we've proudly worked with our airline partners to support their team's transport to the #Bahamas. Keep up the great…,1174739263348510722,1174739263348510722,1174739263348510722,1174739263348510722,1174739263348510722
